# SelectionSort (time in microseconds)
#    Size       Average
# -------------------------
     1000       289.716
     2000       852.640
     3000      1832.105
     4000      3179.449
     5000      4903.209
     6000      6989.572
     7000      9446.528
     8000     12261.186
     9000     15451.918
    10000     19007.078
