# Selectionsort: Time in microseconds
#   Size         Average
# ------------------------
    1000       272.592
    2000       857.949
    3000      1830.842
    4000      3190.058
    5000      5099.996
    6000      6988.421
    7000      9508.226
    8000     12239.281
    9000     15433.368
   10000     18983.753
